Data,Atividade,Quantidade Processada,Acao,Quantidade em Estoque
2023-09-19 21:12:21,QUALITY,100,Passed,600
2023-09-19 21:12:26,QUALITY,100,Returned,700
2023-09-19 21:12:36,QUALITY,100,Passed,700
2023-09-19 21:12:41,QUALITY,100,Passed,800
2023-09-19 21:12:46,QUALITY,100,Passed,700
2023-09-19 21:12:56,QUALITY,100,Passed,900
2023-09-19 21:13:01,QUALITY,100,Passed,800
2023-09-19 21:13:07,QUALITY,100,Passed,900
2023-09-19 21:13:12,QUALITY,100,Passed,1000
2023-09-19 21:13:17,QUALITY,100,Returned,900
2023-09-19 21:13:27,QUALITY,100,Returned,900
2023-09-19 21:13:37,QUALITY,100,Passed,1100
2023-09-19 21:13:42,QUALITY,100,Passed,1000
2023-09-19 21:13:47,QUALITY,100,Passed,1100
2023-09-19 21:13:52,QUALITY,100,Passed,1200
2023-09-19 21:13:57,QUALITY,100,Passed,1100
2023-09-19 21:14:02,QUALITY,100,Passed,1200
2023-09-19 21:14:07,QUALITY,100,Returned,1100
2023-09-19 21:14:12,QUALITY,100,Returned,1200
2023-09-19 21:14:17,QUALITY,100,Passed,1300
2023-09-19 21:14:22,QUALITY,100,Passed,1200
2023-09-19 21:14:27,QUALITY,100,Passed,1300
2023-09-19 21:14:32,QUALITY,100,Passed,1400
2023-09-19 21:14:37,QUALITY,100,Passed,1300
2023-09-19 21:14:42,QUALITY,100,Passed,1400
2023-09-19 21:14:47,QUALITY,100,Passed,1300
2023-09-19 21:14:52,QUALITY,100,Passed,1400
2023-09-19 21:14:57,QUALITY,100,Passed,1500
2023-09-19 21:15:02,QUALITY,100,Passed,1400
2023-09-19 21:15:07,QUALITY,100,Passed,1500
2023-09-19 21:15:12,QUALITY,100,Passed,1600
2023-09-19 21:15:17,QUALITY,100,Passed,1500
2023-09-19 21:15:22,QUALITY,100,Returned,1600
2023-09-19 21:15:27,QUALITY,100,Passed,1500
2023-09-19 21:15:32,QUALITY,100,Returned,1600
2023-09-19 21:15:37,QUALITY,100,Passed,1700
2023-09-19 21:15:42,QUALITY,100,Passed,1600
2023-09-19 21:15:47,QUALITY,100,Passed,1700
2023-09-19 21:15:52,QUALITY,100,Passed,1800
2023-09-19 21:15:57,QUALITY,100,Passed,1700
2023-09-19 21:16:02,QUALITY,100,Passed,1800
2023-09-19 21:16:07,QUALITY,100,Returned,1700
2023-09-19 21:16:12,QUALITY,100,Passed,1800
2023-09-19 21:16:17,QUALITY,100,Passed,1900
2023-09-19 21:16:22,QUALITY,100,Passed,1800
2023-09-19 21:16:27,QUALITY,100,Passed,1900
2023-09-19 21:16:33,QUALITY,100,Passed,2000
2023-09-19 21:16:38,QUALITY,100,Passed,1900
2023-09-19 21:16:43,QUALITY,100,Passed,2000
2023-09-19 21:16:48,QUALITY,100,Passed,1900
2023-09-19 21:16:53,QUALITY,100,Passed,2000
2023-09-19 21:16:58,QUALITY,100,Returned,2100
2023-09-19 21:17:03,QUALITY,100,Passed,2000
2023-09-19 21:17:08,QUALITY,100,Passed,2100
2023-09-19 21:17:13,QUALITY,100,Passed,2200
2023-09-19 21:17:18,QUALITY,100,Passed,2100
2023-09-19 21:17:23,QUALITY,100,Passed,2200
2023-09-19 21:17:33,QUALITY,100,Passed,2200
2023-09-19 21:17:38,QUALITY,100,Returned,2300
2023-09-19 21:17:43,QUALITY,100,Passed,2200
2023-09-19 21:17:48,QUALITY,100,Passed,2300
2023-09-19 21:17:53,QUALITY,100,Passed,2400
2023-09-19 21:18:03,QUALITY,100,Returned,2400
2023-09-19 21:18:13,QUALITY,100,Passed,2400
2023-09-19 21:18:18,QUALITY,100,Passed,2500
2023-09-19 21:18:23,QUALITY,100,Passed,2400
2023-09-19 21:18:28,QUALITY,100,Passed,2500
2023-09-19 21:18:38,QUALITY,100,Returned,2500
2023-09-19 21:18:43,QUALITY,100,Returned,2600
2023-09-19 21:18:53,QUALITY,100,Passed,2600
